experiment,path,bytes,status,actual_sha256
adfc2_psm_joint,adfc2_psm_joint/85153/train/checkpoints/best.pt,2937108,ok,
adfc2_psm_joint,adfc2_psm_joint/85153/train/checkpoints/last.pt,2937108,ok,
adfc2_psm_joint,adfc2_psm_joint/85154/train/checkpoints/best.pt,2937108,ok,
adfc2_psm_joint,adfc2_psm_joint/85154/train/checkpoints/last.pt,2937108,ok,
adfc2_psm_joint,adfc2_psm_joint/85155/train/checkpoints/best.pt,2937108,ok,
adfc2_psm_joint,adfc2_psm_joint/85155/train/checkpoints/last.pt,2937108,ok,
adfc2_psm_joint_oldmask,adfc2_psm_joint_oldmask/84622/train/checkpoints/best.pt,2937108,ok,
adfc2_psm_joint_oldmask,adfc2_psm_joint_oldmask/84622/train/checkpoints/last.pt,2937108,ok,
adfc2_psm_joint_oldmask,adfc2_psm_joint_oldmask/84623/train/checkpoints/best.pt,2937108,ok,
adfc2_psm_joint_oldmask,adfc2_psm_joint_oldmask/84623/train/checkpoints/last.pt,2937108,ok,
adfc2_psm_joint_oldmask,adfc2_psm_joint_oldmask/84624/train/checkpoints/best.pt,2937108,ok,
adfc2_psm_joint_oldmask,adfc2_psm_joint_oldmask/84624/train/checkpoints/last.pt,2937108,ok,
adfc2_psm_merge_n2,adfc2_psm_merge_n2/85135/baseline/checkpoints/best.pt,2937108,ok,
adfc2_psm_merge_n2,adfc2_psm_merge_n2/85135/baseline/checkpoints/last.pt,2937108,ok,
adfc2_psm_merge_n2,adfc2_psm_merge_n2/85135/finetune_0/checkpoints/best.pt,2937108,ok,
adfc2_psm_merge_n2,adfc2_psm_merge_n2/85135/finetune_0/checkpoints/last.pt,2937108,ok,
adfc2_psm_merge_n2,adfc2_psm_merge_n2/85135/finetune_1/checkpoints/best.pt,2937108,ok,
adfc2_psm_merge_n2,adfc2_psm_merge_n2/85135/finetune_1/checkpoints/last.pt,2937108,ok,
adfc2_psm_merge_n2,adfc2_psm_merge_n2/85135/merged/checkpoints/best.pt,2932692,ok,
adfc2_psm_merge_n2,adfc2_psm_merge_n2/85136/baseline/checkpoints/best.pt,2937108,ok,
adfc2_psm_merge_n2,adfc2_psm_merge_n2/85136/baseline/checkpoints/last.pt,2937108,ok,
adfc2_psm_merge_n2,adfc2_psm_merge_n2/85136/finetune_0/checkpoints/best.pt,2937108,ok,
adfc2_psm_merge_n2,adfc2_psm_merge_n2/85136/finetune_0/checkpoints/last.pt,2937108,ok,
adfc2_psm_merge_n2,adfc2_psm_merge_n2/85136/finetune_1/checkpoints/best.pt,2937108,ok,
adfc2_psm_merge_n2,adfc2_psm_merge_n2/85136/finetune_1/checkpoints/last.pt,2937108,ok,
adfc2_psm_merge_n2,adfc2_psm_merge_n2/85136/merged/checkpoints/best.pt,2932692,ok,
adfc2_psm_merge_n2,adfc2_psm_merge_n2/85137/baseline/checkpoints/best.pt,2937108,ok,
adfc2_psm_merge_n2,adfc2_psm_merge_n2/85137/baseline/checkpoints/last.pt,2937108,ok,
adfc2_psm_merge_n2,adfc2_psm_merge_n2/85137/finetune_0/checkpoints/best.pt,2937108,ok,
adfc2_psm_merge_n2,adfc2_psm_merge_n2/85137/finetune_0/checkpoints/last.pt,2937108,ok,
adfc2_psm_merge_n2,adfc2_psm_merge_n2/85137/finetune_1/checkpoints/best.pt,2937108,ok,
adfc2_psm_merge_n2,adfc2_psm_merge_n2/85137/finetune_1/checkpoints/last.pt,2937108,ok,
adfc2_psm_merge_n2,adfc2_psm_merge_n2/85137/merged/checkpoints/best.pt,2932692,ok,
adfc2_psm_merge_n2_oldmask,adfc2_psm_merge_n2_oldmask/84604/baseline/checkpoints/best.pt,2937108,ok,
adfc2_psm_merge_n2_oldmask,adfc2_psm_merge_n2_oldmask/84604/baseline/checkpoints/last.pt,2937108,ok,
adfc2_psm_merge_n2_oldmask,adfc2_psm_merge_n2_oldmask/84604/finetune_0/checkpoints/best.pt,2937108,ok,
adfc2_psm_merge_n2_oldmask,adfc2_psm_merge_n2_oldmask/84604/finetune_0/checkpoints/last.pt,2937108,ok,
adfc2_psm_merge_n2_oldmask,adfc2_psm_merge_n2_oldmask/84604/finetune_1/checkpoints/best.pt,2937108,ok,
adfc2_psm_merge_n2_oldmask,adfc2_psm_merge_n2_oldmask/84604/finetune_1/checkpoints/last.pt,2937108,ok,
adfc2_psm_merge_n2_oldmask,adfc2_psm_merge_n2_oldmask/84604/merged/checkpoints/best.pt,2932692,ok,
adfc2_psm_merge_n2_oldmask,adfc2_psm_merge_n2_oldmask/84605/baseline/checkpoints/best.pt,2937108,ok,
adfc2_psm_merge_n2_oldmask,adfc2_psm_merge_n2_oldmask/84605/baseline/checkpoints/last.pt,2937108,ok,
adfc2_psm_merge_n2_oldmask,adfc2_psm_merge_n2_oldmask/84605/finetune_0/checkpoints/best.pt,2937108,ok,
adfc2_psm_merge_n2_oldmask,adfc2_psm_merge_n2_oldmask/84605/finetune_0/checkpoints/last.pt,2937108,ok,
adfc2_psm_merge_n2_oldmask,adfc2_psm_merge_n2_oldmask/84605/finetune_1/checkpoints/best.pt,2937108,ok,
adfc2_psm_merge_n2_oldmask,adfc2_psm_merge_n2_oldmask/84605/finetune_1/checkpoints/last.pt,2937108,ok,
adfc2_psm_merge_n2_oldmask,adfc2_psm_merge_n2_oldmask/84605/merged/checkpoints/best.pt,2932692,ok,
adfc2_psm_merge_n2_oldmask,adfc2_psm_merge_n2_oldmask/84606/baseline/checkpoints/best.pt,2937108,ok,
adfc2_psm_merge_n2_oldmask,adfc2_psm_merge_n2_oldmask/84606/baseline/checkpoints/last.pt,2937108,ok,
adfc2_psm_merge_n2_oldmask,adfc2_psm_merge_n2_oldmask/84606/finetune_0/checkpoints/best.pt,2937108,ok,
adfc2_psm_merge_n2_oldmask,adfc2_psm_merge_n2_oldmask/84606/finetune_0/checkpoints/last.pt,2937108,ok,
adfc2_psm_merge_n2_oldmask,adfc2_psm_merge_n2_oldmask/84606/finetune_1/checkpoints/best.pt,2937108,ok,
adfc2_psm_merge_n2_oldmask,adfc2_psm_merge_n2_oldmask/84606/finetune_1/checkpoints/last.pt,2937108,ok,
adfc2_psm_merge_n2_oldmask,adfc2_psm_merge_n2_oldmask/84606/merged/checkpoints/best.pt,2932692,ok,
adfc2_psm_merge_n3,adfc2_psm_merge_n3/85141/baseline/checkpoints/best.pt,2937108,ok,
